

"Board Report"
"Save Time: 01/02/2015 10:19:37"
"User Name:c1ghutx8"
""

"Total 1,579 Records"

"NE","Board Name","Board Type","NE Type","Subrack ID","Slot ID","Hardware Version","Software Version","Serial Number","Alias","Remarks","Customized Column","Subrack Type","NE ID","Board Bar Code","BIOS Version","FPGA Version","Board Status","Board BOM Item","Management","Description","Manufacture Date"
VAAAXQVTO02.01,MR8,TNF1MR8 (TNF1MR802),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-SNIGXQRMO04 WDM_OT40_117ZNOO,-,OptiX OSN 1800 2U Subrack,12-1267,030KAA10D4000102,/,/,Normal,03030KAA,--,"OptiX OSN 1800,TNF1MR802,8-Channel Optical Add/Drop Multiplexing Board(192.9/193.0/193.1/193.2/193.3/193.4/193.5/193.6THz),DWDM",2013-04-25
CSCSJACAO03.01,MR4,TNF1MR4 (TNF1MR413),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-HRTAJALHO02 WDM_OT40_033ZCEN,-,OptiX OSN 1800 2U Subrack,12-4074,030JVE10C1000059,/,/,Normal,03030JVE,--,"OptiX OSN 1800,TNF1MR413,4-Channel Optical Add/Drop Multiplexing Board(193.3/193.4/193.5/193.6THz),DWDM",2012-01-31
HRTAJALHO02.01,MR4,TNF1MR4 (TNF1MR413),OptiX OSN 1800,0,6,VER.A,1.10,--,--,DIR: al-TQSQJATQO01 WDM_OT40_033ZCEN,-,OptiX OSN 1800 2U Subrack,12-4073,030JVE10C1000073,/,/,Normal,03030JVE,--,"OptiX OSN 1800,TNF1MR413,4-Channel Optical Add/Drop Multiplexing Board(193.3/193.4/193.5/193.6THz),DWDM",2012-01-31
HRTAJALHO02.01,MR4,TNF1MR4 (TNF1MR413),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-CSCSJACAO03 WDM_OT40_033ZCEN,-,OptiX OSN 1800 2U Subrack,12-4073,030JVE10C1000086,/,/,Normal,03030JVE,--,"OptiX OSN 1800,TNF1MR413,4-Channel Optical Add/Drop Multiplexing Board(193.3/193.4/193.5/193.6THz),DWDM",2012-01-31
LLCAXTLLO01.02,MR8,TNF1MR8 (TNF1MR805),OptiX OSN 1800,0,6,VER.A,1.10,--,--,DIR: al-CDMNXTCMO06 WDM_OT40_001ZNTE C,-,OptiX OSN 1800 2U Subrack,12-1099,030KAH10C4000015,/,/,Normal,03030KAH,--,"OptiX OSN 1800,TNF1MR805,8-Channel Optical Add/Drop Multiplexing Board(195.3/195.4/195.5/195.6/195.7/195.8/195.9/196.0THz),DWDM",2012-04-03
LLCAXTLLO01.02,MR8,TNF1MR8 (TNF1MR805),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-CDVCXTANO0Y WDM_OT40_001ZNTE C,-,OptiX OSN 1800 2U Subrack,12-1099,030KAH10C4000009,/,/,Normal,03030KAH,--,"OptiX OSN 1800,TNF1MR805,8-Channel Optical Add/Drop Multiplexing Board(195.3/195.4/195.5/195.6/195.7/195.8/195.9/196.0THz),DWDM",2012-04-03
LLCAXTLLO01.01,MR4,TNF1MR4 (TNF1MR413),OptiX OSN 1800,0,6,VER.A,1.10,--,--,DIR: al-CDMNXTCMO06 WDM_OT40_001ZNTE,-,OptiX OSN 1800 2U Subrack,12-1011,030JVE10B3000083,/,/,Normal,03030JVE,--,"OptiX OSN 1800,TNF1MR413,4-Channel Optical Add/Drop Multiplexing Board(193.3/193.4/193.5/193.6THz),DWDM",2011-03-24
LLCAXTLLO01.01,MR4,TNF1MR4 (TNF1MR413),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-CDVCXTANO0Y WDM_OT40_001ZNTE,-,OptiX OSN 1800 2U Subrack,12-1011,030JVE10B3000109,/,/,Normal,03030JVE,--,"OptiX OSN 1800,TNF1MR413,4-Channel Optical Add/Drop Multiplexing Board(193.3/193.4/193.5/193.6THz),DWDM",2011-03-24
CDVCXTANO0Y.01,MR8,TNF1MR8 (TNF1MR805),OptiX OSN 1800,0,6,VER.A,1.10,--,--,DIR: al-LLCAXTLLO01 WDM_OT40_001ZNTE C,-,OptiX OSN 1800 2U Subrack,12-1010,030KAH10C4000003,/,/,Normal,03030KAH,--,"OptiX OSN 1800,TNF1MR805,8-Channel Optical Add/Drop Multiplexing Board(195.3/195.4/195.5/195.6/195.7/195.8/195.9/196.0THz),DWDM",2012-04-03
CDVCXTANO0Y.01,MR4,TNF1MR4 (TNF1MR413),OptiX OSN 1800,0,7,VER.A,1.10,--,--,DIR: al-LLCAXTLLO01 WDM_OT40_001ZNTE,-,OptiX OSN 1800 2U Subrack,12-1010,030JVE10B3000112,/,/,Normal,03030JVE,--,"OptiX OSN 1800,TNF1MR413,4-Channel Optical Add/Drop Multiplexing Board(193.3/193.4/193.5/193.6THz),DWDM",2011-03-24
