

"OTU Board Wavelength Info Report"
"Save Time: 01/02/2015 11:12:31"
"User Name:c1ghutx8"
""

"Total 3,909 Records"

"NE Name","NE Type","NE ID","Slot No.","Board Name","Port No.","Port Name","Wavelength(Band/No./Wavelength/Frequency)"
ARNDJAARO04.01,OptiX OSN 1800,12-4153,Shelf0(REPISA 1)-2,LQM,1,1(IN1/OUT1_2/2.5Gb/192.90/ARNDJAARO04-JEMAJAJEO01),C/64/1554.13nm/192.900THz
ARNDJAARO04.01,OptiX OSN 1800,12-4153,Shelf0(REPISA 1)-1,LOE,1,1(IN1/OUT1_1/10Gb/193.60/ARNDJAARO04-JEMAJAJEO01  ),C/50/1548.51nm/193.600THz
ATCGPBATO03.01,OptiX OSN 1800,12-2286,Shelf0(REPISA 1)-4,LOE,1,1(IN1/OUT1_3/10Gb/193.20/ATCGPBATO0I-IZMTPBMAO0Q),C/58/1551.72nm/193.200THz
ATCGPBATO03.01,OptiX OSN 1800,12-2286,Shelf0(REPISA 1)-3,LQM2,1,1(IN1/OUT1_2/2.5Gb/193.10/ATCGPBATO0I-IZMTPBMAO0Q),C/60/1552.52nm/193.100THz
ATCGPBATO03.01,OptiX OSN 1800,12-2286,Shelf0(REPISA 1)-3,LQM2,2,2(IN2/OUT2_2/2.5Gb/193.10/ATCGPBATO0I-CKTLPBCHO02),C/60/1552.52nm/193.100THz
ATCGPBATO03.01,OptiX OSN 1800,12-2286,Shelf0(REPISA 1)-2,LOE,1,1(IN1/OUT1_1/10Gb/193.00/ATCGPBATO0I-CKTLPBCHO02),C/62/1553.33nm/193.000THz
ATCGPBATO03.01,OptiX OSN 1800,12-2286,Shelf0(REPISA 1)-1,LOE,1,1(IN1/OUT1_1/10Gb/193.00/ATCGPBATO0I-IZMTPBMAO0Q),C/62/1553.33nm/193.000THz
ATYTPBATO02.01,OptiX OSN 1800,12-2289,Shelf0(REPISA 1)-2,LQM2,1,1(IN1/OUT1_1/2.5Gb/192.90/ATYTPBATO02-TCDHPBTDO02),C/64/1554.13nm/192.900THz
ATYTPBATO02.01,OptiX OSN 1800,12-2289,Shelf0(REPISA 1)-2,LQM2,2,2(IN2/OUT2),/
ATYTPBATO02.01,OptiX OSN 1800,12-2289,Shelf0(REPISA 1)-3,LSX,1,1(IN/OUT_1/10Gb/193.20/TCCHPBTEO0C-TCDHPBTDO02),C/58/1551.72nm/193.200THz
